u,DY_gamma0.0,DY_gamma0.001,DY_gamma0.01,DY_gamma0.05,DY_gamma0.1,DY_gamma0.5,DY_gamma1.0
2.0050505050505047,0.0019436720019038178,0.0019904289498157146,0.0024010316170188784,0.003981267917580578,0.005439888226363876,0.008396672651785453,0.007487959889143081
2.04040404040404,0.001908150160848443,0.001950944336432836,0.002326095620834856,0.0037642241482485073,0.005089243761363993,0.007766830495758326,0.006919558217334365
2.0757575757575757,0.0018683268330810243,0.0019074350090942938,0.002249763164137164,0.0035575362585109627,0.004760457694588993,0.007183285313523302,0.006393395322715323
2.111111111111111,0.0018241188273903086,0.0018598083523870823,0.0021718184539388785,0.0033602242199189947,0.004451769584039478,0.006642734189852506,0.005906475044491488
2.146464646464646,0.0017754761616978199,0.00180800487899202,0.002092084373289671,0.003171400432483207,0.004161558562996492,0.006142084532089531,0.005455990586635706
2.1818181818181817,0.0017223949065376942,0.001752010985415664,0.0020104337438916486,0.0029902740027826225,0.0038883432615043345,0.005678446050399688,0.005039316261505999
2.217171717171717,0.0016649307573265437,0.001691872428567498,0.0019268012962356806,0.002816155469210102,0.003630781824613738,0.005249122424198949,0.004653998996169584
2.2525252525252526,0.0016032124821856453,0.0016277076763104859,0.0018411955558103044,0.0026484614291807373,0.0033876716583099986,0.004851602739743832,0.004297749729455402
2.2878787878787876,0.0015374541370107853,0.0015597200318544502,0.0017537096177615563,0.002486718347880834,0.00315794841395578,0.004483552745011221,0.003968434802412046
2.323232323232323,0.0014679647373702087,0.001488207231803429,0.0016645295972332885,0.0023305646944157266,0.0029406836368726097,0.004142805939634453,0.0036640674232572
2.3585858585858586,0.0013951539846630556,0.0014135671267682115,0.0015739394601600454,0.0021797504954509384,0.002735080477861973,0.003827354501670599,0.0033827992708390653
2.3939393939393936,0.0013195327195777429,0.0013362981288127518,0.0014823210129601971,0.0020341334570712633,0.0025404669234875277,0.003535340051602609,0.003122912286912638
2.429292929292929,0.0012417070622894322,0.0012569933945716372,0.0013901480966936886,0.0018936710074295426,0.0023562861565487037,0.0032650442667129242,0.0028828106975060663
2.4646464646464645,0.0011623657072484805,0.0011763282173798961,0.0012979745029985112,0.0017584079612545933,0.0021820839124429003,0.00301487938469458,0.0026610132960619426
2.5,0.0010822605353167924,0.001095040791302404,0.0012064157698550293,0.001628459974423735,0.0020174930283166637,0.0027833786689066553,0.0024561460160135162
