theta_deg,B0.5mT_on,B1.0mT_on,B1.5mT_on,B1.8mT_on,B2.0mT_on,B2.5mT_on,B3.0mT_on,B0.5mT_off,B1.0mT_off,B1.5mT_off,B1.8mT_off,B2.0mT_off,B2.5mT_off,B3.0mT_off
86.0,0.9691881881248432,0.9721861340685681,0.9783881383574093,0.9819716479001978,0.9844307104879028,0.9889605935113006,0.9919670711052248,0.9999999999998659,0.9999999999984904,0.999999999999895,0.9999999999999469,0.999999999999965,0.9999999999999805,0.9999999999999879
87.0,0.9691548187943351,0.9721979598229161,0.9784445625317201,0.9820408196518293,0.9845073268254652,0.989050412928365,0.9920662380632471,0.9999999999998649,0.9999999999984887,0.9999999999998922,0.9999999999999514,0.9999999999999656,0.9999999999999835,0.9999999999999898
88.0,0.9691308685046034,0.9722059679195271,0.9784848703095723,0.9820904508468346,0.9845624106820711,0.9891151605427995,0.9921378144278685,0.9999999999998667,0.9999999999984843,0.9999999999998938,0.9999999999999507,0.9999999999999651,0.9999999999999837,0.9999999999999879
89.0,0.9691164526583289,0.9722105941634925,0.9785090536753717,0.9821203167279152,0.9845956031943165,0.9891542465470577,0.9921810599734704,0.9999999999998652,0.9999999999984828,0.9999999999998949,0.9999999999999489,0.9999999999999677,0.9999999999999837,0.9999999999999868
90.0,0.9691116397990586,0.9722121061678075,0.9785171142508692,0.9821302863461479,0.9846066909620055,0.9891673148878092,0.9921955253543995,0.9999999999998659,0.9999999999984833,0.9999999999998932,0.9999999999999486,0.999999999999966,0.9999999999999832,0.9999999999999879
91.0,0.9691164526583262,0.9722105941634923,0.9785090536753711,0.9821203167279173,0.9845956031943208,0.9891542465470521,0.9921810599734701,0.9999999999998649,0.9999999999984829,0.9999999999998952,0.9999999999999488,0.999999999999966,0.9999999999999809,0.99999999999999
92.0,0.9691308685046027,0.9722059679195283,0.9784848703095715,0.9820904508468341,0.9845624106820728,0.9891151605428001,0.9921378144278682,0.9999999999998627,0.9999999999984832,0.9999999999998932,0.9999999999999475,0.9999999999999648,0.9999999999999845,0.999999999999988
93.0,0.9691548187943352,0.9721979598229178,0.9784445625317229,0.982040819651832,0.9845073268254629,0.9890504129283657,0.992066238063242,0.9999999999998641,0.9999999999984872,0.9999999999998974,0.9999999999999496,0.9999999999999653,0.9999999999999821,0.9999999999999898
94.0,0.9691881881248464,0.9721861340685658,0.9783881383574076,0.9819716479001991,0.984430710487905,0.9889605935113002,0.9919670711052263,0.9999999999998612,0.9999999999984893,0.9999999999998924,0.9999999999999498,0.9999999999999627,0.9999999999999835,0.9999999999999893
95.0,0.969230812489518,0.9721699018015595,0.9783156305956063,0.9818832630692487,0.9843330700673226,0.9888465201402988,0.9918413317797813,0.9999999999998658,0.9999999999984942,0.9999999999998929,0.9999999999999497,0.9999999999999645,0.9999999999999833,0.9999999999999896
96.00000000000001,0.9692824768533085,0.972148541930184,0.978227116295638,0.9817761062245921,0.9842150678619029,0.9887092302566864,0.9916902985401993,0.9999999999998659,0.999999999998498,0.9999999999998938,0.9999999999999496,0.9999999999999672,0.9999999999999806,0.9999999999999888
97.0,0.9693429121163899,0.9721212271781898,0.9781227388855084,0.9816507434418196,0.984077523595597,0.9885499690513552,0.9915154872877969,0.999999999999863,0.9999999999985043,0.9999999999998952,0.999999999999951,0.9999999999999669,0.9999999999999817,0.9999999999999879
98.0,0.9694117915811648,0.9720870547658522,0.9780027311838518,0.9815078762428338,0.9839214159425959,0.9883701741817943,0.9913186244149148,0.9999999999998654,0.9999999999985106,0.9999999999998935,0.9999999999999493,0.9999999999999639,0.9999999999999837,0.9999999999999876
99.0,0.9694887270258602,0.9720450809048673,0.9778674373921362,0.9813483495514475,0.9837478809530631,0.9881714567563351,0.9911016158621883,0.9999999999998659,0.9999999999985165,0.999999999999895,0.999999999999949,0.9999999999999708,0.9999999999999811,0.9999999999999893
100.0,0.9695732644616373,0.9719943580722985,0.9777173322376084,0.981173155875219,0.9835582065142497,0.9879555786486014,0.990866513262995,0.9999999999998671,0.9999999999985257,0.9999999999998936,0.9999999999999486,0.9999999999999644,0.9999999999999817,0.9999999999999873
101.0,0.9696648797235836,0.9719339738152323,0.9775530356608056,0.9809834347226515,0.9833538223365195,0.9877244265075293,0.9906154777735657,0.9999999999998662,0.9999999999985352,0.9999999999998963,0.9999999999999477,0.999999999999965,0.9999999999999777,0.999999999999989
102.0,0.9697629741657905,0.9718630896554655,0.9773753218170064,0.9807804666726965,0.9831362853217531,0.9874799829966401,0.9903507428657911,0.9999999999998654,0.9999999999985443,0.9999999999998964,0.9999999999999486,0.9999999999999651,0.999999999999983,0.9999999999999893
103.0,0.9698668707168804,0.9717809785347061,0.9771851215997222,0.9805656620064802,0.9829072605542876,0.9872242963134698,0.9900745772507341,0.9999999999998654,0.9999999999985569,0.9999999999998985,0.9999999999999495,0.9999999999999662,0.9999999999999787,0.9999999999999873
